# pmichel : Magniture<5, no other restrictions
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-08-17T22:04:08 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.91 (20-Jun-2012)	
#INFO	-ref=VIZ502eb7e02d25	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/109&tab:{V/109/sky2kv4}&key:source=V/109/sky2kv4&HTTPPRM:&-ref=VIZ502eb7e02d25&-file=.&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=SKY2000&-out=HD&-out=Name&-out=Vname&-out=RAJ2000&-sort=RAJ2000&-out=DEJ2000&-out=Vmag&Vmag=3&-out=B-V&-out=U-B&-out=Sp&-ignore=Simbad=*&Simbad=Simbad&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.max=9999&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/109/sky2kv4
#-order=I
#-out=Name
#-out=Vname
#-out=RAJ2000
#-sort=RAJ2000
#-out=DEJ2000
#-out=Vmag
#Vmag=<5
#-out=B-V
#-out=v-mag1
#-out=v-mag2
#Simbad=Simbad
#

#RESOURCE=yCat_5109
#Name: V/109
#Title: SKY2000 Catalog, Version 4 (Myers+ 2002)
#Table	V_109_sky2kv4:
#Name: V/109/sky2kv4
#Title: The Sky2000 Version 4 Catalogue
#Column	Name	(a10)	Star name (or AGK3 number)	[ucd=meta.id]
#Column	Vname	(a10)	Variable star name (or doubtful variability)	[ucd=meta.id]
#Column	RAJ2000	(A13)	Right ascension (J2000) hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	?Observed visual magnitude (V or v)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color (observed)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	v-mag1	(F6.3)	?v - passband #1 color	[ucd=phot.color]
#Column	v-mag2	(F6.3)	?v - passband #2 color	[ucd=phot.color]
Name;Vname;RAJ2000;DEJ2000;Vmag;B-V;v-mag1;v-mag2
          ;V0382 Car ;11 08 35.3899;-58 58 30.133; 3.920; 1.224; 0.970; 1.550
 52psi UMa;          ;11 09 39.8084;+44 29 54.553; 3.000; 1.152; 0.818; 1.400
 11bet Crt;          ;11 11 39.4893;-22 49 33.050; 4.460; 0.031; 0.070; 0.090
          ;V0533 Car ;11 12 36.0129;-60 19 03.450; 4.620; 0.499; 0.550; 0.930
 68del Leo;  5143    ;11 14 06.5014;+20 31 25.381; 2.560; 0.152; 0.086; 0.150
 70the Leo;  5144    ;11 14 14.4052;+15 25 46.453; 3.330; 0.012;-0.005; 0.000
 72    Leo;FN    Leo ;11 15 12.2290;+23 05 43.808; 4.570; 1.559; 1.493; 2.870
 74phi Leo;          ;11 16 39.7009;-03 39 05.764; 4.470; 0.213; 0.188; 0.380
 53xi  UMa;xi    UMa ;11 18 10.9370;+31 31 45.250; 3.790; 0.590; 0.540; 0.880
 54nu  UMa; 18715    ;11 18 28.7368;+33 05 39.500; 3.490; 1.406; 1.011; 1.760
 55    UMa; 18718    ;11 19 07.9010;+38 11 08.004; 4.760; 0.114; 0.077; 0.140
 12del Crt;          ;11 19 20.4476;-14 46 42.749; 3.570; 1.114; 0.823; 1.430
   pi  Cen;          ;11 21 00.4068;-54 29 27.669; 3.890;-0.145;-0.050;-0.220
 77sig Leo;          ;11 21 08.1943;+06 01 45.558; 4.050;-0.051;-0.047;-0.050
 56    UMa;          ;11 22 49.5842;+43 28 57.731; 4.990; 0.990; 0.707; 1.190
 78iot Leo;  5184    ;11 23 55.4523;+10 31 46.231; 3.960; 0.420; 0.356; 0.600
 14eps Crt;          ;11 24 36.5911;-10 51 33.564; 4.810; 1.543; 1.252; 2.210
 15gam Crt;          ;11 24 52.9238;-17 41 02.435; 4.080; 0.205; 0.230; 0.340
 84tau Leo;          ;11 27 56.2400;+02 51 22.555; 4.940; 1.001; 0.712; 1.230
 87    Leo;          ;11 30 18.8934;-03 00 12.602; 4.760; 1.525; 1.152; 2.010
  1lam Dra;  5231    ;11 31 24.2205;+69 19 51.873; 3.810; 1.610; 1.281; 2.300
   xi  Hya; 18790    ;11 33 00.1154;-31 51 27.451; 3.540; 0.944; 0.700; 1.180
          ;          ;11 34 45.6565;-54 15 50.728; 4.620;-0.069; 0.020;-0.510
   lam Cen;          ;11 35 46.8848;-63 01 11.430; 3.120;-0.039; 0.040; 0.030
 21the Crt;          ;11 36 40.9134;-09 48 08.089; 4.690;-0.059;-0.039;-0.060
 91ups Leo;          ;11 36 56.9306;-00 49 25.495; 4.300; 0.982; 0.722; 1.240
   omi Hya; 18834    ;11 40 12.7891;-34 44 40.775; 4.700;-0.074; 0.010;-0.040
          ; 18841    ;11 40 53.6340;-62 05 24.365; 4.940; 1.100; 0.870; 1.440
 27zet Crt;          ;11 44 45.7753;-18 21 02.438; 4.710; 0.965; 0.730; 1.210
  2xi  Vir;          ;11 45 17.0400;+08 15 29.230; 4.840; 0.172; 0.127;
   lam Mus;          ;11 45 36.4191;-66 43 43.546; 3.630; 0.173; 0.140; 0.220
  3nu  Vir;nu    Vir ;11 45 51.5590;+06 31 45.755; 4.030; 1.502; 1.261; 2.260
 63chi UMa;  5319    ;11 46 03.0140;+47 46 45.861; 3.700; 1.192; 0.868; 1.480
          ;  5325    ;11 46 30.8226;-61 10 42.235; 4.110; 0.888; 0.700; 1.130
          ;          ;11 46 31.0720;-40 30 01.274; 4.890; 0.664; 0.530; 0.910
 93    Leo;DQ    Leo ;11 47 59.1359;+20 13 08.153; 4.530; 0.556; 0.504; 0.890
   mu  Mus;mu    Mus ;11 48 14.5350;-66 48 53.677; 4.740; 1.550; 1.090; 1.970
 94bet Leo;bet   Leo ;11 49 03.5776;+14 34 19.417; 2.130; 0.140; 0.046; 0.080
          ;  5357    ;11 49 41.0644;-63 47 18.522; 4.320;-0.144;-0.070;-0.210
          ;          ;11 49 56.6139;-70 13 32.846; 4.970; 1.357; 1.000; 1.750
  5bet Vir;          ;11 50 41.7186;+01 45 52.985; 3.600; 0.560; 0.453; 0.750
          ;          ;11 51 08.6917;-45 10 24.494; 4.460; 1.300; 0.940; 1.610
          ;          ;11 51 51.2251;-65 12 21.277; 4.940;-0.132;-0.040;-0.170
   bet Hya;bet   Hya ;11 52 54.5205;-33 54 29.248; 4.290;-0.087; 0.010;-0.070
 64gam UMa;  5379    ;11 53 49.8475;+53 41 41.136; 2.430; 0.041;-0.001;-0.030
   eps Cha;          ;11 59 37.5734;-78 13 18.620; 4.910;-0.051; 0.020;-0.030
  8pi  Vir;          ;12 00 52.3901;+06 36 51.561; 4.660; 0.121; 0.095; 0.200
   the1Cru;          ;12 03 01.5010;-63 18 46.548; 4.330; 0.266; 0.320; 0.500
   the2Cru;the 2 Cru ;12 04 19.2155;-63 09 56.559; 4.730;-0.096;-0.030;-0.130
  9omi Vir;          ;12 05 12.5396;+08 43 58.748; 4.120; 0.977; 0.704; 1.230
   eta Cru;          ;12 06 52.8995;-64 36 49.428; 4.140; 0.348; 0.330; 0.490
          ;V0863 Cen ;12 08 05.2250;-50 39 40.602; 4.460;-0.160;-0.060;-0.240
   del Cen;del   Cen ;12 08 21.4998;-50 43 20.732; 2.580;-0.130; 0.040;-0.080
  1alp Crv;          ;12 08 24.8170;-24 43 43.952; 4.040; 0.328; 0.300; 0.480
  2eps Crv;  5483    ;12 10 07.4807;-22 37 11.159; 3.010; 1.338; 0.930; 1.570
   rho Cen; 19284    ;12 11 39.1111;-52 22 06.457; 3.960;-0.147;-0.090;-0.260
   del Cru;del   Cru ;12 15 08.7157;-58 44 56.140; 2.790;-0.194;-0.130;-0.370
 69del UMa;  5513    ;12 15 25.5601;+57 01 57.421; 3.300; 0.092; 0.050; 0.060
  4gam Crv;  5515    ;12 15 48.3702;-17 32 30.946; 2.590;-0.073;-0.040;-0.130
  7    Com;          ;12 16 20.5381;+23 56 43.472; 4.930; 0.948; 0.705; 1.190
          ; 19344    ;12 16 30.1366;+33 03 41.496; 4.990; 1.147; 0.831; 1.430
   eps Mus;eps   Mus ;12 17 34.2768;-67 57 38.649; 4.060; 1.603; 1.900; 3.590
   bet Cha;  5532    ;12 18 20.8242;-79 18 44.063; 4.250;-0.119;-0.030;-0.130
   zet Cru;          ;12 18 26.2486;-64 00 11.055; 4.050;-0.162;-0.080;-0.270
 15eta Vir;  5555    ;12 19 54.3569;-00 40 00.492; 3.890; 0.039; 0.022; 0.080
 16    Vir;  5558    ;12 20 20.9809;+03 18 45.267; 4.970; 1.169; 0.874; 1.500
 11    Com;          ;12 20 43.0260;+17 47 34.325; 4.730; 0.993; 0.743; 1.310
   eps Cru;  5568    ;12 21 21.6093;-60 24 04.128; 3.590; 1.395; 1.030; 1.770
 12    Com;  5581    ;12 22 30.3122;+25 50 46.177; 4.800; 0.503; 0.452; 0.790
  5    CVn; 19378    ;12 24 01.4946;+51 33 44.124; 4.760; 0.883; 0.653; 1.140
 14    Com;          ;12 26 24.0640;+27 16 05.655; 4.920; 0.278; 0.245; 0.390
          ; 19389    ;12 26 30.8803;-63 07 19.935; 4.800;-0.126;      ;
          ;          ;12 26 31.7591;-51 27 02.287; 4.820;-0.145;-0.050;-0.210
   alp1Cru;          ;12 26 35.8958;-63 05 56.730; 1.280;-0.169;      ;
   alp2Cru;          ;12 26 36.4422;-63 05 58.283; 1.580;-0.159;      ;
 15gam Com;          ;12 26 56.2724;+28 16 06.322; 4.340; 1.132; 0.783; 1.340
 16    Com;          ;12 26 59.2965;+26 49 32.517; 4.960; 0.098; 0.070; 0.100
   sig Cen;          ;12 28 02.3820;-50 13 50.286; 3.910;-0.184;-0.110;-0.310
  7del Crv;  5656    ;12 29 51.8554;-16 30 55.557; 2.970;-0.015;-0.050;-0.090
   gam Cru;  5672    ;12 31 09.9593;-57 06 47.562; 1.650; 1.516; 1.660; 3.070
  8eta Crv;  5690    ;12 32 04.2270;-16 11 45.627; 4.310; 0.381; 0.380; 0.560
   gam Mus;gam   Mus ;12 32 28.0148;-72 07 58.758; 3.840;-0.141;-0.030;-0.200
  5kap Dra;kap   Dra ;12 33 28.9443;+69 47 17.656; 3.890;-0.120; 0.030;-0.030
  8bet CVn;  5725    ;12 33 44.5446;+41 21 26.927; 4.250; 0.593; 0.491; 0.850
  9bet Crv;  5729    ;12 34 23.2346;-23 23 48.333; 2.660; 0.895; 0.610; 1.050
  6    Dra;          ;12 34 44.0134;+70 01 18.372; 4.950; 1.295; 1.037;
 23    Com;          ;12 34 51.0809;+22 37 45.330; 4.790; 0.003; 0.002; 0.040
 24    Com;  5748    ;12 35 07.7597;+18 22 37.408; 4.990; 1.135; 0.800;
   alp Mus;alp   Mus ;12 37 11.0184;-69 08 08.030; 2.690;-0.178;-0.060;-0.300
   tau Cen;          ;12 37 42.1634;-48 32 28.694; 3.850; 0.054; 0.050; 0.090
 26chi Vir;          ;12 39 14.7669;-07 59 44.032; 4.650; 1.240; 0.865; 1.510
          ;  5835    ;12 39 52.5295;-39 59 14.289; 4.640;-0.083;-0.020;-0.110
   gam Cen;          ;12 41 31.0386;-48 57 35.598; 2.180; 0.017; 0.030; 0.030
 29gam Vir;  5859    ;12 41 39.5220;-01 26 57.948; 3.500;      ; 0.314;
 29gam Vir;  5859    ;12 41 39.6423;-01 26 57.750; 3.480; 0.360; 0.314; 0.480
 30rho Vir;rho   Vir ;12 41 53.0565;+10 14 08.251; 4.870; 0.080; 0.039; 0.100
          ;CH    Cru ;12 41 56.5683;-59 41 08.950; 4.920;-0.048; 0.080; 0.070
          ;          ;12 42 35.4519;-48 48 47.191; 4.660; 1.092; 0.750; 1.320
   iot Cru;          ;12 45 38.0515;-60 58 52.746; 4.690; 1.049; 0.780; 1.300
   bet Mus;          ;12 46 16.8064;-68 06 29.229; 3.080;-0.166;-0.090;-0.300
          ; 19477    ;12 46 22.7145;-56 29 19.735; 4.620;-0.148;-0.080;-0.260
   bet Cru;bet   Cru ;12 47 43.2631;-59 41 19.549; 1.310;-0.158;-0.130;-0.390
          ;          ;12 50 41.1665;-33 59 57.489; 4.910;-0.034;      ;
 31    Com; 19505    ;12 51 41.9216;+27 32 26.565; 4.930; 0.659; 0.539; 0.900
          ;          ;12 53 06.9063;-48 56 35.933; 4.320; 1.368; 0.980; 1.730
 35    Com;          ;12 53 17.7442;+21 14 41.794; 4.920; 0.917; 0.662; 1.110
          ;          ;12 53 26.1992;-40 10 43.938; 4.270; 0.214; 0.200; 0.340
 77eps UMa;eps   UMa ;12 54 01.7494;+55 57 35.356; 1.760; 0.041;-0.015;-0.050
 40psi Vir;psi   Vir ;12 54 21.1633;-09 32 20.380; 4.790; 1.542; 1.535; 2.850
   mu 1Cru; 19544    ;12 54 35.6248;-57 10 40.527; 4.000;-0.167;-0.100;-0.340
   lam Cru;lam   Cru ;12 54 39.1821;-59 08 48.124; 4.610;-0.145;-0.060;-0.220
 43del Vir;  6026    ;12 55 36.2078;+03 23 50.893; 3.420; 1.501; 1.528; 2.850
 12alp2CVn;alp 2 CVn ;12 56 01.6674;+38 19 06.167; 2.890;-0.058;-0.055;-0.160
 36    Com;  6046    ;12 58 55.4423;+17 24 34.004; 4.750; 1.556; 1.263; 2.300
 37    Com; 19571    ;13 00 16.4699;+30 47 06.079; 4.890; 1.127; 0.852; 1.450
 78    UMa;  6058    ;13 00 43.6999;+56 21 58.816; 4.940; 0.367; 0.326; 0.580
 47eps Vir;  6064    ;13 02 10.5971;+10 57 32.941; 2.840; 0.934; 0.665; 1.080
   del Mus;          ;13 02 16.2633;-71 32 55.879; 3.610; 1.189; 0.880; 1.470
   xi 1Cen;          ;13 03 33.3061;-49 31 38.149; 4.830; 0.026;      ;
          ;          ;13 06 16.7042;-48 27 47.841; 4.710;-0.134;-0.060;-0.200
   xi 2Cen;          ;13 06 54.6393;-49 54 22.486; 4.280;-0.186;-0.100;-0.300
 41    Com;          ;13 07 10.7298;+27 37 29.067; 4.780; 1.483; 1.123; 1.990
 45psi Hya;          ;13 09 03.2703;-23 07 05.051; 4.940; 1.043;      ;
 51the Vir;          ;13 09 56.9915;-05 32 20.435; 4.390;-0.002; 0.008; 0.050
 42alp Com;  6116    ;13 09 59.2766;+17 31 45.953; 4.320; 0.450; 0.391;
 43bet Com; 19648    ;13 11 52.3935;+27 52 41.459; 4.250; 0.586; 0.469; 0.790
          ;          ;13 12 03.1844;-37 48 10.878; 4.850; 0.705; 0.570; 0.930
          ;V0831 Cen ;13 12 17.5961;-59 55 14.084; 4.590;-0.082; 0.030;-0.060
          ;          ;13 13 42.9417;+40 09 10.387; 4.930; 1.058; 0.735; 1.200
          ;          ;13 14 15.1445;-59 06 11.647; 4.910; 0.477; 0.450; 0.720
   eta Mus;eta   Mus ;13 15 14.9406;-67 53 40.521; 4.780;-0.081;-0.030;-0.110
          ;  6164    ;13 17 13.0124;-66 47 00.377; 4.850; 1.480; 1.090; 1.840
 20    CVn;AO    CVn ;13 17 32.5406;+40 34 21.387; 4.710; 0.328; 0.233; 0.400
 60sig Vir;  6173    ;13 17 36.2827;+05 28 11.530; 4.790; 1.641; 1.392;
 61    Vir;          ;13 18 24.3146;-18 18 40.306; 4.740; 0.709; 0.580; 0.940
 46gam Hya;  6180    ;13 18 55.2968;-23 10 17.444; 3.000; 0.914; 0.600; 1.070
   iot Cen;          ;13 20 35.8176;-36 42 44.262; 2.760; 0.064; 0.050; 0.040
          ;          ;13 22 37.9371;-60 59 18.215; 4.530;-0.140;-0.050;-0.200
 79zet UMa;  6224    ;13 23 55.5429;+54 55 31.302; 2.220; 0.053;-0.015;-0.060
 79zet UMa;  6225    ;13 23 56.3298;+54 55 18.564; 3.860; 0.159; 0.084;
          ;          ;13 24 00.4829;-64 32 08.405; 4.530; 0.830; 0.660; 1.090
 67alp Vir;alp   Vir ;13 25 11.5793;-11 09 40.759; 1.060;-0.136;-0.154;-0.330
 80    UMa;  6238    ;13 25 13.5380;+54 59 16.648; 4.000; 0.183; 0.129; 0.240
 69    Vir;  6253    ;13 27 27.1640;-15 58 24.882; 4.750; 1.094; 0.790; 1.320
 70    Vir;          ;13 28 25.8094;+13 46 43.634; 4.970; 0.711; 0.574; 1.000
          ;  6283    ;13 31 02.6491;-39 24 26.294; 3.900; 1.178; 0.840; 1.430
 74    Vir;  6297    ;13 31 57.8851;-06 15 20.938; 4.700; 1.602; 1.437; 2.620
 78    Vir;CW    Vir ;13 34 07.9309;+03 39 32.280; 4.920; 0.049; 0.031; 0.050
 24    CVn;  6322    ;13 34 27.2594;+49 00 57.501; 4.670; 0.139; 0.099; 0.130
 79zet Vir;          ;13 34 41.5920;-00 35 44.953; 3.380; 0.128; 0.081; 0.130
          ;BH    CVn ;13 34 47.8083;+37 10 56.694; 4.940; 0.414; 0.388; 0.710
 25    CVn;          ;13 37 27.6283;+36 17 41.633; 4.910; 0.223; 0.224; 0.400
   eps Cen;eps   Cen ;13 39 53.2584;-53 27 59.018; 2.280;-0.173;-0.150;-0.390
 83    UMa;IQ    UMa ;13 40 44.2732;+54 40 53.882; 4.630; 1.630; 1.404; 2.520
  1    Cen; 19951    ;13 45 41.2452;-33 02 37.397; 4.230; 0.382; 0.330; 0.540
          ;  6434    ;13 46 39.3781;-51 25 57.957; 4.640; 0.946;      ;
  4tau Boo;  6444    ;13 47 15.7429;+17 27 24.862; 4.490; 0.498; 0.403; 0.650
 85eta UMa;  6450    ;13 47 32.4376;+49 18 47.754; 1.860;-0.102;-0.125;-0.300
  2    Cen;V0806 Cen ;13 49 26.7211;-34 27 02.793; 4.290; 1.332; 2.130; 3.940
  5ups Boo;  6458    ;13 49 28.6411;+15 47 52.458; 4.040; 1.507; 1.178; 2.070
   nu  Cen;nu    Cen ;13 49 30.2771;-41 41 15.753; 3.400;-0.206;-0.110;-0.340
   mu  Cen;mu    Cen ;13 49 36.9890;-42 28 25.434; 3.470;-0.188; 0.030;-0.080
  6    Boo;          ;13 49 42.8331;+21 15 50.780; 4.910; 1.417; 1.056; 1.780
 89    Vir;          ;13 49 52.2835;-18 08 03.004; 4.960; 1.051;      ;
 10    Dra;CU    Dra ;13 51 25.9396;+64 43 23.778; 4.610; 1.544; 1.578; 2.970
          ;AW    CVn ;13 51 47.4751;+34 26 39.265; 4.750; 1.619; 1.535; 2.820
  3    Cen;V0983 Cen ;13 51 49.6004;-32 59 38.722; 4.550;-0.141;-0.050;-0.180
  4    Cen;          ;13 53 12.5390;-31 55 39.404; 4.740;-0.135;-0.050;-0.130
  8eta Boo; 19993    ;13 54 41.0787;+18 23 51.781; 2.680; 0.605; 0.460; 0.730
   zet Cen;          ;13 55 32.3858;-47 17 18.150; 2.530;-0.178;-0.140;-0.340
          ;          ;13 57 38.8836;-63 41 12.105; 4.710; 1.100;      ;
   phi Cen;  6509    ;13 58 16.2661;-42 06 02.712; 3.820;-0.200;-0.130;-0.350
   ups1Cen; 20006    ;13 58 40.7484;-44 48 12.903; 3.860;-0.196;-0.140;-0.350
 93tau Vir;          ;14 01 38.7933;+01 32 40.315; 4.240; 0.099; 0.094; 0.210
   ups2Cen;          ;14 01 43.4952;-45 36 12.315; 4.340; 0.606; 0.510; 0.840
   bet Cen;bet   Cen ;14 03 49.4045;-60 22 22.942; 0.640;-0.153;      ;
 11alp Dra;  6546    ;14 04 23.3498;+64 22 33.062; 3.650;-0.032;-0.028;-0.100
   chi Cen;chi   Cen ;14 06 02.7671;-41 10 46.679; 4.360;-0.191;-0.110;-0.330
 49pi  Hya;          ;14 06 22.2971;-26 40 56.500; 3.260; 1.116; 0.880; 1.430
  5the Cen;          ;14 06 40.9485;-36 22 11.836; 2.080; 1.019; 0.760; 1.290
  4    UMi;          ;14 08 50.9269;+77 32 51.051; 4.800; 1.370; 1.025;
          ;          ;14 09 54.8155;-53 26 20.205; 4.740; 0.936;      ;
 12    Boo;          ;14 10 23.9336;+25 05 30.037; 4.820; 0.536; 0.446; 0.730
          ;ET    Vir ;14 10 50.4858;-16 18 07.308; 4.940; 1.675;      ;
          ;CU    Vir ;14 12 15.8043;+02 24 33.958; 4.990;-0.100;-0.070;-0.210
 98kap Vir; 20060    ;14 12 53.7458;-10 16 25.326; 4.180; 1.327; 1.005; 1.820
 17kap2Boo;kap 2 Boo ;14 13 29.0078;+51 47 23.874; 4.520; 0.207; 0.173; 0.290
 16alp Boo;  6603    ;14 15 39.6723;+19 10 56.688; 0.160; 1.137; 0.900; 1.630
 99iot Vir;  6604    ;14 16 00.8698;-06 00 01.968; 4.080; 0.518; 0.444; 0.770
 21iot Boo;iot   Boo ;14 16 09.9294;+51 22 02.033; 4.750; 0.227; 0.179; 0.240
 19lam Boo;  6611    ;14 16 23.0187;+46 05 17.900; 4.180; 0.085; 0.049; 0.050
          ; 20079    ;14 17 59.8196;+35 30 34.219; 4.810; 1.052; 0.766; 1.290
   eta Aps;          ;14 18 13.8961;-81 00 27.937; 4.900; 0.249;      ;
100lam Vir;  6621    ;14 19 06.5916;-13 22 15.942; 4.520; 0.135; 0.099; 0.160
   iot Lup;  6620    ;14 19 24.2220;-46 03 29.135; 3.550;-0.167;-0.100;-0.240
 20    Boo;  6631    ;14 19 45.2352;+16 18 25.012; 4.840; 1.238; 0.873; 1.490
          ;          ;14 20 19.5430;-56 23 11.391; 4.350; 0.070; 0.140; 0.290
   psi Cen; 20084    ;14 20 33.4316;-37 53 07.061; 4.050;-0.029;-0.010;-0.030
          ; 20085    ;14 20 42.5817;-45 11 13.417; 4.780; 0.304;      ;
          ;          ;14 22 37.0695;-58 27 32.821; 4.920; 0.849;      ;
          ;V0761 Cen ;14 23 02.2389;-39 30 42.548; 4.420;-0.179;-0.110;-0.280
 51    Hya;  6648    ;14 23 05.7749;-27 45 14.463; 4.790; 1.317; 0.970; 1.640
 23the Boo;  6669    ;14 25 11.7964;+51 51 02.677; 4.050; 0.507; 0.420; 0.670
   tau1Lup;tau 1 Lup ;14 26 08.2239;-45 13 17.127; 4.560;-0.152;-0.090;-0.200
   tau2Lup;          ;14 26 10.8140;-45 22 45.418; 4.350; 0.431; 0.410; 0.760
   del Oct;  6636    ;14 26 55.2341;-83 40 04.384; 4.310; 1.308;      ;
  5    UMi;  6687    ;14 27 31.5431;+75 41 45.574; 4.240; 1.431; 1.041; 1.800
 52    Hya;  6674    ;14 28 10.4267;-29 29 29.895; 4.980;-0.077;      ;
105phi Vir;  6675    ;14 28 12.1381;-02 13 40.646; 4.840; 0.683; 0.557; 0.950
 25rho Boo;  6697    ;14 31 49.7899;+30 22 17.174; 3.570; 1.300; 0.939; 1.570
 27gam Boo;gam   Boo ;14 32 04.6719;+38 18 29.709; 3.040; 0.209; 0.159; 0.220
   sig Lup;sig   Lup ;14 32 37.0564;-50 27 25.767; 4.430;-0.176;      ;
 28sig Boo;  6717    ;14 34 40.8170;+29 44 42.468; 4.470; 0.363; 0.335; 0.530
   eta Cen;eta   Cen ;14 35 30.4238;-42 09 28.168; 2.340;-0.160;-0.100;-0.300
   rho Lup;  6733    ;14 37 53.2262;-49 25 32.982; 4.050;-0.142;-0.090;-0.200
   alp2Cen;          ;14 39 35.0803;-60 50 13.761; 1.350; 0.900;      ;
   alp1Cen; 20145    ;14 39 36.4950;-60 50 02.308;-0.010; 0.710;      ;
 29pi 1Boo;  6762    ;14 40 43.5668;+16 25 05.967; 4.860;-0.086; 0.012; 0.050
 30zet Boo;          ;14 41 08.9045;+13 43 42.272; 3.780; 0.044; 0.021;
 30zet Boo;  6766    ;14 41 08.9518;+13 43 41.881; 3.780; 0.044; 0.021; 0.010
 31    Boo;  6769    ;14 41 38.7505;+08 09 42.350; 4.860; 1.000; 0.726; 1.210
   alp Lup;alp   Lup ;14 41 55.7556;-47 23 17.521; 2.290;-0.156;-0.090;-0.260
          ;          ;14 41 57.5910;-37 47 36.595; 4.000;-0.160;-0.110;-0.260
   alp Cir;alp   Cir ;14 42 30.4194;-64 58 30.499; 3.180; 0.269; 0.230; 0.330
107mu  Vir;          ;14 43 03.6234;-05 39 29.544; 3.870; 0.391; 0.348; 0.620
 34    Boo;W     Boo ;14 43 25.3632;+26 31 40.261; 4.810; 1.645; 1.495; 2.640
          ;          ;14 43 39.4400;-35 10 25.159; 4.050; 1.356; 1.010; 1.740
 36eps Boo;          ;14 44 59.1477;+27 04 29.912; 4.660; 0.162; 0.730; 1.240
          ;          ;14 44 59.2023;-35 11 30.572; 4.930; 0.015; 0.060; 0.080
 36eps Boo;          ;14 44 59.2177;+27 04 27.201; 2.500; 1.129; 0.730; 1.240
 35omi Boo;          ;14 45 14.4601;+16 57 51.407; 4.600; 0.966; 0.696; 1.210
109    Vir;  6794    ;14 46 14.9241;+01 53 34.388; 3.730; 0.002; 0.001; 0.050
   alp Aps;          ;14 47 51.7088;-79 02 41.103; 3.810; 1.432;      ;
 58    Hya;          ;14 50 17.3099;-27 57 37.335; 4.420; 1.372; 1.080; 1.840
  7bet UMi;  6846    ;14 50 42.3264;+74 09 19.818; 2.060; 1.480; 1.080; 1.870
  9alp2Lib;  6827    ;14 50 52.7131;-16 02 30.401; 2.750; 0.169; 0.140; 0.180
 11    Lib;          ;14 51 01.0713;-02 17 56.942; 4.930; 0.988; 0.750; 1.260
 37xi  Boo;xi    Boo ;14 51 23.3785;+19 06 01.656; 4.670; 0.725; 0.647; 1.060
   omi Lup; 20197    ;14 51 38.3083;-43 34 31.297; 4.330;-0.142;-0.050;-0.160
 16    Lib;          ;14 57 10.9996;-04 20 47.263; 4.470; 0.320; 0.281; 0.490
          ;RR    UMi ;14 57 35.0072;+65 55 56.857; 4.690; 1.445; 1.821; 3.560
   bet Lup;          ;14 58 31.9268;-43 08 02.256; 2.680;-0.185;-0.100;-0.270
   kap Cen;  6873    ;14 59 09.6840;-42 06 15.073; 3.130;-0.179;-0.080;-0.240
 19del Lib;del   Lib ;15 00 58.3486;-08 31 08.195; 4.950;-0.010; 0.056; 0.090
 42bet Boo;  6898    ;15 01 56.7623;+40 23 26.036; 3.480; 0.952; 0.688; 1.110
 41ome Boo;          ;15 02 06.5084;+25 00 29.298; 4.790; 1.500; 1.140; 1.980
110    Vir; 20230    ;15 02 54.0373;+02 05 28.690; 4.400; 1.044; 0.775; 1.350
 44    Boo;i     Boo ;15 03 47.3040;+47 39 14.616; 4.830; 0.647; 0.553;
 20sig Lib;sig   Lib ;15 04 04.2156;-25 16 55.073; 3.280; 1.621; 1.610; 2.900
 43psi Boo;          ;15 04 26.7417;+26 56 51.536; 4.510; 1.261; 0.917; 1.580
   pi  Lup;          ;15 05 07.0857;-47 03 04.483; 3.910;-0.144;-0.100;-0.210
   pi  Lup;          ;15 05 07.2362;-47 03 03.826; 4.820;      ;      ;
 45    Boo;  6945    ;15 07 18.0659;+24 52 09.104; 4.930; 0.435; 0.367; 0.610
   lam Lup;          ;15 08 50.6176;-45 16 47.504; 4.060;-0.160;-0.080;-0.230
   kap1Lup;          ;15 11 56.0757;-48 44 16.147; 3.860;-0.032;-0.050;-0.060
 24iot1Lib;  6981    ;15 12 13.2901;-19 47 30.158; 4.560;-0.082;-0.040;-0.130
   zet Lup;          ;15 12 17.0950;-52 05 57.290; 3.410; 0.918;      ;
          ; 20269    ;15 12 49.5880;-44 30 01.489; 4.820;-0.167;-0.100;-0.260
  1    Lup;          ;15 14 37.3192;-31 31 08.836; 4.920; 0.371; 0.360; 0.670
